DEPARTMENT | OVERDUE
PWE Public Works Engineering | -6.81
PWE Public Works Engineering | -13.87
PM Parking Management | -7.95
PWE Public Works Engineering | -26.99
PM Parking Management | -13.64
PWE Public Works Engineering | 2.49
PWE Public Works Engineering | -177.74
PWE Public Works Engineering | -12.72
NS Neighborhood Services | -163.27
SWM Solid Waste Management | -2.76
SWM Solid Waste Management | -7.72
PWE Public Works Engineering | 2.49
PWE Public Works Engineering | -118.71
NS Neighborhood Services | -163.27
SWM Solid Waste Management | -1.99
SWM Solid Waste Management | -2.78
PWE Public Works Engineering | -1.86
NS Neighborhood Services | -163.27
NS Neighborhood Services | -163.27
SWM Solid Waste Management | -7.00
PWE Public Works Engineering | -0.85
PWE Public Works Engineering | -29.05
NS Neighborhood Services | -20.77
PWE Public Works Engineering | -1.78
PWE Public Works Engineering | -20.98
HLT Health | -43.28
NS Neighborhood Services | -13.28
SWM Solid Waste Management | -9.76
NS Neighborhood Services | -163.28
PWE Public Works Engineering | -6.80
PWE Public Works Engineering | -12.09
SWM Solid Waste Management | -9.76
PWE Public Works Engineering | -0.87
SWM Solid Waste Management | -1.76
PWE Public Works Engineering | -27.99
SWM Solid Waste Management | -2.75
NS Neighborhood Services | -163.28
SWM Solid Waste Management | -3.85
SWM Solid Waste Management | -2.00
NS Neighborhood Services | -26.76
PWE Public Works Engineering | -5.88
SWM Solid Waste Management | -6.77
SWM Solid Waste Management | -2.71
NS Neighborhood Services | -163.28
PWE Public Works Engineering | -0.84
NS Neighborhood Services | -163.28
SWM Solid Waste Management | -2.00
SWM Solid Waste Management | -3.89
PWE Public Works Engineering | -8.28
PWE Public Works Engineering | -0.86
PWE Public Works Engineering | -13.94
SWM Solid Waste Management | -3.65
PWE Public Works Engineering | -29.90
PWE Public Works Engineering | -14.91
SWM Solid Waste Management | -3.72
PWE Public Works Engineering | -37.89
SWM Solid Waste Management | -4.79
PWE Public Works Engineering | 2.71
PWE Public Works Engineering | -177.99
PWE Public Works Engineering | -12.11
PWE Public Works Engineering | -180.00
PWE Public Works Engineering | -13.00
PWE Public Works Engineering | -19.02
PWE Public Works Engineering | -14.00
SWM Solid Waste Management | -4.03
PWE Public Works Engineering | -17.04
SWM Solid Waste Management | -3.74
PWE Public Works Engineering | -1.73
SWM Solid Waste Management | -23.85
PWE Public Works Engineering | -28.70
PWE Public Works Engineering | -19.09
SWM Solid Waste Management | -6.75
PWE Public Works Engineering | -178.74
PWE Public Works Engineering | -88.74
SWM Solid Waste Management | 5.01
Finance | -73.29
SWM Solid Waste Management | -3.30
PWE Public Works Engineering | -21.00
SWM Solid Waste Management | -5.81
PWE Public Works Engineering | -33.69
PWE Public Works Engineering | -0.87
PWE Public Works Engineering | -34.64
PWE Public Works Engineering | -2.79
PWE Public Works Engineering | -7.74
NS Neighborhood Services | -26.95
PWE Public Works Engineering | -2.99
PWE Public Works Engineering | -13.89
PWE Public Works Engineering | -14.96
PWE Public Works Engineering | -13.08
PWE Public Works Engineering | -4.99
PWE Public Works Engineering | -6.22
PWE Public Works Engineering | -2.91
PWE Public Works Engineering | -177.86
SWM Solid Waste Management | -3.68
PWE Public Works Engineering | -13.78
PWE Public Works Engineering | -4.75
PWE Public Works Engineering | -7.98
PWE Public Works Engineering | -1.92
PWE Public Works Engineering | -20.95
SWM Solid Waste Management | -1.64
PWE Public Works Engineering | -0.92
PM Parking Management | -13.68
SWM Solid Waste Management | -7.85
SWM Solid Waste Management | -5.83
SWM Solid Waste Management | -2.80
PWE Public Works Engineering | -34.81
PWE Public Works Engineering | 1.07
PR Parks and Recreation | -39.83
NS Neighborhood Services | -163.31
PWE Public Works Engineering | -12.65
PR Parks and Recreation | -163.31
PWE Public Works Engineering | -1.87
NS Neighborhood Services | -21.91
PWE Public Works Engineering | -7.07
SWM Solid Waste Management | -3.73
SWM Solid Waste Management | -2.82
PWE Public Works Engineering | -38.75
SWM Solid Waste Management | -2.83
SWM Solid Waste Management | 3.25
PWE Public Works Engineering | -0.86
SWM Solid Waste Management | -9.89
PR Parks and Recreation | -163.31
PM Parking Management | -13.06
PWE Public Works Engineering | -2.93
SWM Solid Waste Management | 4.99
SWM Solid Waste Management | -2.75
SWM Solid Waste Management | -6.80
SWM Solid Waste Management | -3.73
NS Neighborhood Services | -16.96
PWE Public Works Engineering | -39.03
SWM Solid Waste Management | -9.80
NS Neighborhood Services | -16.97
SWM Solid Waste Management | -3.75
NS Neighborhood Services | -16.97
SWM Solid Waste Management | -0.77
PWE Public Works Engineering | -177.10
SWM Solid Waste Management | -7.06
PWE Public Works Engineering | -6.55
PWE Public Works Engineering | -38.94
SWM Solid Waste Management | 0.00
SWM Solid Waste Management | -3.06
SWM Solid Waste Management | -3.89
PWE Public Works Engineering | -34.88
PWE Public Works Engineering | -1.94
311 HelpLine | -2.66
PWE Public Works Engineering | -19.76
NS Neighborhood Services | -170.74
PWE Public Works Engineering | -7.94
NS Neighborhood Services | -163.32
PWE Public Works Engineering | -0.84
SWM Solid Waste Management | -0.06
PWE Public Works Engineering | -0.82
PWE Public Works Engineering | -43.32
NS Neighborhood Services | -170.74
NS Neighborhood Services | -20.94
PWE Public Works Engineering | -1.86
PWE Public Works Engineering | -0.84
NS Neighborhood Services | -20.89
SWM Solid Waste Management | 3.22
PWE Public Works Engineering | -13.33
PWE Public Works Engineering | -0.68
NS Neighborhood Services | -27.08
PWE Public Works Engineering | 2.67
PWE Public Works Engineering | -13.83
SWM Solid Waste Management | -9.81
PWE Public Works Engineering | -29.85
SWM Solid Waste Management | 4.26
PWE Public Works Engineering | -1.89
NS Neighborhood Services | -20.99
PWE Public Works Engineering | -2.98
NS Neighborhood Services | -27.07
PWE Public Works Engineering | -11.84
PWE Public Works Engineering | -29.92
PWE Public Works Engineering | -34.06
NS Neighborhood Services | -20.96
NS Neighborhood Services | -21.02
PWE Public Works Engineering | 2.43
PWE Public Works Engineering | 6.67
PWE Public Works Engineering | -10.11
PWE Public Works Engineering | -2.93
PWE Public Works Engineering | -29.95
PWE Public Works Engineering | -6.27
SWM Solid Waste Management | -10.79
PWE Public Works Engineering | -39.92
SWM Solid Waste Management | -4.80
SWM Solid Waste Management | 2.93
PWE Public Works Engineering | -20.98
PWE Public Works Engineering | -14.09
PWE Public Works Engineering | 2.42
PWE Public Works Engineering | -14.91
PWE Public Works Engineering | 2.66
SWM Solid Waste Management | -8.91
PWE Public Works Engineering | -33.10
PWE Public Works Engineering | 3.19
SWM Solid Waste Management | -11.80
PR Parks and Recreation | -13.14
SWM Solid Waste Management | -2.78
SWM Solid Waste Management | -0.14
PWE Public Works Engineering | 2.66
NS Neighborhood Services | -13.34
PWE Public Works Engineering | -14.91
SWM Solid Waste Management | 0.26
SWM Solid Waste Management | 2.25
NS Neighborhood Services | -163.34
NS Neighborhood Services | -163.34
SWM Solid Waste Management | -6.82
PWE Public Works Engineering | -14.94
NS Neighborhood Services | -172.77
PWE Public Works Engineering | -2.91
PWE Public Works Engineering | -13.86
SWM Solid Waste Management | 4.96
SWM Solid Waste Management | -3.94
SWM Solid Waste Management | -3.95
SWM Solid Waste Management | -8.87
PWE Public Works Engineering | -13.88
SWM Solid Waste Management | 3.17
PR Parks and Recreation | -19.86
PWE Public Works Engineering | -14.92
SWM Solid Waste Management | -2.92
PWE Public Works Engineering | -3.35
SWM Solid Waste Management | -4.08
SWM Solid Waste Management | -3.77
PWE Public Works Engineering | -34.11
SWM Solid Waste Management | -4.85
PWE Public Works Engineering | -0.48
PWE Public Works Engineering | -29.95
PWE Public Works Engineering | -20.98
SWM Solid Waste Management | -16.80
PWE Public Works Engineering | -14.93
SWM Solid Waste Management | -6.00
NS Neighborhood Services | -17.00
PWE Public Works Engineering | -36.79
PWE Public Works Engineering | -73.37
PWE Public Works Engineering | -20.88
PWE Public Works Engineering | -6.80
NS Neighborhood Services | -17.00
PWE Public Works Engineering | -1.86
PWE Public Works Engineering | -28.05
NS Neighborhood Services | -177.98
PWE Public Works Engineering | -14.97
PWE Public Works Engineering | -13.83
NS Neighborhood Services | -17.00
PWE Public Works Engineering | -34.87
NS Neighborhood Services | -163.36
PWE Public Works Engineering | -12.12
SWM Solid Waste Management | -6.84
SWM Solid Waste Management | -6.84
SWM Solid Waste Management | -5.83
SWM Solid Waste Management | -9.01
SWM Solid Waste Management | -4.83
SWM Solid Waste Management | -9.85
PWE Public Works Engineering | -12.79
PWE Public Works Engineering | -0.91
PWE Public Works Engineering | -0.91
PWE Public Works Engineering | -0.88
PWE Public Works Engineering | -29.88
PWE Public Works Engineering | -8.00
PM Parking Management | -13.74
PWE Public Works Engineering | -20.93
PWE Public Works Engineering | 2.70
SWM Solid Waste Management | -8.09
NS Neighborhood Services | -163.36
SWM Solid Waste Management | -7.80
PWE Public Works Engineering | -14.94
SWM Solid Waste Management | 4.95
SWM Solid Waste Management | -6.00
PWE Public Works Engineering | -5.08
PWE Public Works Engineering | -0.97
PWE Public Works Engineering | -1.60
PWE Public Works Engineering | -177.13
PWE Public Works Engineering | -14.94
PWE Public Works Engineering | -14.95
SWM Solid Waste Management | 6.63
SWM Solid Waste Management | -2.08
PWE Public Works Engineering | -13.95
SWM Solid Waste Management | -3.84
PWE Public Works Engineering | 2.63
SWM Solid Waste Management | -6.88
SWM Solid Waste Management | -2.80
PWE Public Works Engineering | -14.94
PWE Public Works Engineering | -38.91
PWE Public Works Engineering | -14.86
NS Neighborhood Services | -163.37
PWE Public Works Engineering | -20.86
SWM Solid Waste Management | -4.09
PWE Public Works Engineering | -12.81
PWE Public Works Engineering | -13.99
SWM Solid Waste Management | -2.86
SWM Solid Waste Management | 0.24
PWE Public Works Engineering | -12.89
PWE Public Works Engineering | 2.39
