DEPARTMENT | OVERDUE
PWE Public Works Engineering | -6.96
PWE Public Works Engineering | -5.23
PWE Public Works Engineering | -14.85
SWM Solid Waste Management | -3.59
NS Neighborhood Services | -165.23
PM Parking Management | -9.97
SWM Solid Waste Management | -5.96
SWM Solid Waste Management | -6.00
PWE Public Works Engineering | -13.88
SWM Solid Waste Management | -8.64
PWE Public Works Engineering | -15.65
PWE Public Works Engineering | -13.84
SWM Solid Waste Management | -1.92
PWE Public Works Engineering | -1.81
PWE Public Works Engineering | 1.28
SWM Solid Waste Management | -10.73
SWM Solid Waste Management | -25.64
SWM Solid Waste Management | 0.76
SWM Solid Waste Management | -3.60
SWM Solid Waste Management | -5.96
PWE Public Works Engineering | -39.66
PWE Public Works Engineering | -1.68
PWE Public Works Engineering | -5.76
NS Neighborhood Services | -15.24
NS Neighborhood Services | -165.24
SWM Solid Waste Management | 0.35
PWE Public Works Engineering | -1.73
PWE Public Works Engineering | -14.65
PWE Public Works Engineering | -29.97
PWE Public Works Engineering | -2.93
PWE Public Works Engineering | 0.51
PWE Public Works Engineering | -20.00
PWE Public Works Engineering | -2.91
SWM Solid Waste Management | 4.29
SWM Solid Waste Management | -3.97
PWE Public Works Engineering | -12.78
SWM Solid Waste Management | -3.61
NS Neighborhood Services | -15.25
PWE Public Works Engineering | -2.77
PWE Public Works Engineering | -29.88
SWM Solid Waste Management | -3.60
SWM Solid Waste Management | 0.16
NS Neighborhood Services | -15.25
SWM Solid Waste Management | -5.68
PWE Public Works Engineering | -2.78
PWE Public Works Engineering | -45.25
PWE Public Works Engineering | -3.00
PWE Public Works Engineering | -12.80
SWM Solid Waste Management | -3.61
SWM Solid Waste Management | -3.61
SWM Solid Waste Management | 4.32
SWM Solid Waste Management | -3.61
NS Neighborhood Services | -165.25
NS Neighborhood Services | -165.25
SWM Solid Waste Management | -8.93
SWM Solid Waste Management | -17.25
PWE Public Works Engineering | -45.25
PWE Public Works Engineering | -30.00
PWE Public Works Engineering | -29.94
NS Neighborhood Services | -165.25
SWM Solid Waste Management | -3.60
NS Neighborhood Services | -165.25
SWM Solid Waste Management | -1.05
SWM Solid Waste Management | -5.25
SWM Solid Waste Management | -1.65
SWM Solid Waste Management | 3.30
PWE Public Works Engineering | -2.89
NS Neighborhood Services | -165.26
SWM Solid Waste Management | -3.62
SWM Solid Waste Management | -5.05
PWE Public Works Engineering | 3.98
PWE Public Works Engineering | -13.79
PWE Public Works Engineering | -2.99
NS Neighborhood Services | -16.85
PWE Public Works Engineering | -25.72
SWM Solid Waste Management | -17.93
PWE Public Works Engineering | -25.02
NS Neighborhood Services | -165.26
PWE Public Works Engineering | -36.88
PWE Public Works Engineering | -3.00
NS Neighborhood Services | -165.26
PWE Public Works Engineering | -5.98
PWE Public Works Engineering | 4.01
SWM Solid Waste Management | -8.68
SWM Solid Waste Management | -3.62
SWM Solid Waste Management | 0.34
PWE Public Works Engineering | -5.79
PWE Public Works Engineering | -16.93
PWE Public Works Engineering | -2.76
SWM Solid Waste Management | 0.13
SWM Solid Waste Management | -2.73
SWM Solid Waste Management | -2.96
PWE Public Works Engineering | -10.00
NS Neighborhood Services | -15.27
PWE Public Works Engineering | -2.97
PWE Public Works Engineering | -12.75
PWE Public Works Engineering | -16.70
PWE Public Works Engineering | -29.94
PWE Public Works Engineering | -6.99
SWM Solid Waste Management | 1.00
PWE Public Works Engineering | -0.85
SWM Solid Waste Management | -2.95
PWE Public Works Engineering | -19.02
PWE Public Works Engineering | -10.78
PWE Public Works Engineering | -2.90
PWE Public Works Engineering | -1.82
PWE Public Works Engineering | -39.76
NS Neighborhood Services | -165.27
SWM Solid Waste Management | -5.73
PM Parking Management | -8.04
SWM Solid Waste Management | -3.64
PWE Public Works Engineering | -2.80
SWM Solid Waste Management | -4.68
PWE Public Works Engineering | -15.28
SWM Solid Waste Management | 0.35
PWE Public Works Engineering | -28.97
PWE Public Works Engineering | -0.80
PWE Public Works Engineering | -6.82
PWE Public Works Engineering | -2.92
PWE Public Works Engineering | -1.86
PWE Public Works Engineering | -32.97
PWE Public Works Engineering | -5.83
SWM Solid Waste Management | 1.30
NS Neighborhood Services | -165.28
PWE Public Works Engineering | -13.92
SWM Solid Waste Management | -2.98
PWE Public Works Engineering | -11.60
PWE Public Works Engineering | -13.92
NS Neighborhood Services | -165.29
PWE Public Works Engineering | -43.98
PWE Public Works Engineering | -13.84
PWE Public Works Engineering | -2.66
PWE Public Works Engineering | -0.88
SWM Solid Waste Management | 0.71
PWE Public Works Engineering | -2.85
PWE Public Works Engineering | -14.96
PR Parks and Recreation | -171.95
SWM Solid Waste Management | 0.71
PWE Public Works Engineering | -3.00
SWM Solid Waste Management | -8.69
PWE Public Works Engineering | -13.86
PWE Public Works Engineering | -175.76
PWE Public Works Engineering | -29.74
SWM Solid Waste Management | 2.29
SWM Solid Waste Management | 2.29
PWE Public Works Engineering | -179.99
SWM Solid Waste Management | -5.96
NS Neighborhood Services | -23.90
PWE Public Works Engineering | -1.67
PWE Public Works Engineering | -12.89
PWE Public Works Engineering | -19.03
PWE Public Works Engineering | -2.96
PWE Public Works Engineering | 0.97
NS Neighborhood Services | -165.30
PWE Public Works Engineering | -15.30
PWE Public Works Engineering | -6.05
SWM Solid Waste Management | 4.28
SWM Solid Waste Management | -13.11
PWE Public Works Engineering | -14.89
SWM Solid Waste Management | 1.23
SWM Solid Waste Management | 7.69
PWE Public Works Engineering | 0.69
SWM Solid Waste Management | 0.32
PR Parks and Recreation | -41.03
SWM Solid Waste Management | -2.76
NS Neighborhood Services | -165.65
PWE Public Works Engineering | 1.20
SWM Solid Waste Management | 1.22
PWE Public Works Engineering | -45.31
PWE Public Works Engineering | -19.05
PWE Public Works Engineering | -9.07
SWM Solid Waste Management | -3.67
PWE Public Works Engineering | -34.90
NS Neighborhood Services | -165.31
PWE Public Works Engineering | -1.90
PWE Public Works Engineering | -13.12
NS Neighborhood Services | -165.31
PWE Public Works Engineering | -9.75
PWE Public Works Engineering | -29.93
PWE Public Works Engineering | -0.81
NS Neighborhood Services | -165.32
PWE Public Works Engineering | -13.86
NS Neighborhood Services | -165.32
PR Parks and Recreation | -165.32
PWE Public Works Engineering | -20.93
PWE Public Works Engineering | -13.91
NS Neighborhood Services | -165.32
PWE Public Works Engineering | -1.91
NS Neighborhood Services | -165.32
PWE Public Works Engineering | -1.80
SWM Solid Waste Management | -1.05
PWE Public Works Engineering | 13.27
NS Neighborhood Services | -179.97
PWE Public Works Engineering | -10.87
PWE Public Works Engineering | -14.88
SWM Solid Waste Management | -28.80
SWM Solid Waste Management | -5.08
SWM Solid Waste Management | -5.08
PWE Public Works Engineering | -13.87
SWM Solid Waste Management | -0.09
PWE Public Works Engineering | -0.91
SWM Solid Waste Management | -3.73
SWM Solid Waste Management | -8.72
PWE Public Works Engineering | -0.91
NS Neighborhood Services | -165.32
PWE Public Works Engineering | -20.73
PWE Public Works Engineering | -6.00
PWE Public Works Engineering | -13.93
PWE Public Works Engineering | -1.95
NS Neighborhood Services | -165.33
SWM Solid Waste Management | -9.71
NS Neighborhood Services | -15.33
PWE Public Works Engineering | -6.89
SWM Solid Waste Management | -2.12
311 HelpLine | -2.80
311 HelpLine | -2.80
PWE Public Works Engineering | -13.73
NS Neighborhood Services | -22.82
Finance | -75.33
SWM Solid Waste Management | -4.80
PWE Public Works Engineering | -13.98
PWE Public Works Engineering | -2.78
PWE Public Works Engineering | -13.08
SWM Solid Waste Management | -2.01
PWE Public Works Engineering | -7.10
PWE Public Works Engineering | -9.88
PWE Public Works Engineering | -13.08
PWE Public Works Engineering | -35.08
PWE Public Works Engineering | -19.08
PWE Public Works Engineering | -8.62
PWE Public Works Engineering | -34.78
PWE Public Works Engineering | -13.90
PWE Public Works Engineering | -33.79
PWE Public Works Engineering | -2.93
NS Neighborhood Services | -174.73
PWE Public Works Engineering | -1.82
PWE Public Works Engineering | -2.98
NS Neighborhood Services | -165.34
PWE Public Works Engineering | -13.90
NS Neighborhood Services | -15.34
SWM Solid Waste Management | 1.17
PWE Public Works Engineering | -0.81
SWM Solid Waste Management | -9.86
NS Neighborhood Services | -165.35
PWE Public Works Engineering | -0.75
PWE Public Works Engineering | 1.16
SWM Solid Waste Management | 1.23
Finance | -75.35
PWE Public Works Engineering | -29.10
PWE Public Works Engineering | -39.77
PWE Public Works Engineering | -19.10
PWE Public Works Engineering | -14.97
PWE Public Works Engineering | -14.95
PWE Public Works Engineering | -12.90
PWE Public Works Engineering | -30.09
PWE Public Works Engineering | -5.35
SWM Solid Waste Management | -8.85
SWM Solid Waste Management | 0.65
PWE Public Works Engineering | -15.35
PWE Public Works Engineering | -6.04
NS Neighborhood Services | -172.94
PWE Public Works Engineering | -14.91
NS Neighborhood Services | -165.35
PWE Public Works Engineering | -23.87
PWE Public Works Engineering | -1.93
PWE Public Works Engineering | -176.07
PWE Public Works Engineering | -7.08
SWM Solid Waste Management | -10.04
SWM Solid Waste Management | 1.23
SWM Solid Waste Management | -3.71
SWM Solid Waste Management | 0.22
NS Neighborhood Services | -165.36
SWM Solid Waste Management | -1.94
PWE Public Works Engineering | -1.93
SWM Solid Waste Management | 1.01
PWE Public Works Engineering | -2.99
PWE Public Works Engineering | -175.90
PR Parks and Recreation | -165.36
PWE Public Works Engineering | -6.90
NS Neighborhood Services | -165.36
PWE Public Works Engineering | -14.11
PWE Public Works Engineering | -8.90
NS Neighborhood Services | -15.36
PWE Public Works Engineering | -2.87
NS Neighborhood Services | -165.36
NS Neighborhood Services | -165.36
SWM Solid Waste Management | -2.82
PWE Public Works Engineering | -13.11
NS Neighborhood Services | -165.36
SWM Solid Waste Management | -3.72
PWE Public Works Engineering | -13.89
SWM Solid Waste Management | -4.77
SWM Solid Waste Management | 4.21
SWM Solid Waste Management | 1.15
SWM Solid Waste Management | -20.00
SWM Solid Waste Management | -3.78
PWE Public Works Engineering | -2.91
NS Neighborhood Services | -165.36
PM Parking Management | -10.10
SWM Solid Waste Management | -8.76
SWM Solid Waste Management | -9.05
SWM Solid Waste Management | -9.73
PWE Public Works Engineering | -9.97
PWE Public Works Engineering | -13.90
PWE Public Works Engineering | -39.11
SWM Solid Waste Management | -4.77
PWE Public Works Engineering | -20.77
SWM Solid Waste Management | -9.05
NS Neighborhood Services | -15.37
PWE Public Works Engineering | 4.03
PWE Public Works Engineering | -29.99
PWE Public Works Engineering | -14.96
SWM Solid Waste Management | -7.00
PWE Public Works Engineering | -0.89
PR Parks and Recreation | -165.37
SWM Solid Waste Management | -1.94
PWE Public Works Engineering | -33.91
PWE Public Works Engineering | -20.95
PWE Public Works Engineering | -0.98
NS Neighborhood Services | -165.38
PWE Public Works Engineering | -5.91
SWM Solid Waste Management | 1.06
SWM Solid Waste Management | -1.70
PWE Public Works Engineering | -10.21
PWE Public Works Engineering | -0.84
SWM Solid Waste Management | -2.04
PWE Public Works Engineering | -34.97
SWM Solid Waste Management | -10.73
SWM Solid Waste Management | 3.75
SWM Solid Waste Management | -10.73
PWE Public Works Engineering | -13.13
SWM Solid Waste Management | -5.96
PWE Public Works Engineering | -45.38
PWE Public Works Engineering | -6.13
PWE Public Works Engineering | -6.78
PWE Public Works Engineering | -34.98
NS Neighborhood Services | -165.38
PM Parking Management | -8.14
NS Neighborhood Services | -165.38
PWE Public Works Engineering | -1.93
PWE Public Works Engineering | -2.90
NS Neighborhood Services | -165.38
PWE Public Works Engineering | -9.82
PWE Public Works Engineering | -0.80
PWE Public Works Engineering | -1.93
PWE Public Works Engineering | -14.96
SWM Solid Waste Management | 0.22
PWE Public Works Engineering | -6.98
PWE Public Works Engineering | -176.04
PWE Public Works Engineering | -173.05
NS Neighborhood Services | -17.11
SWM Solid Waste Management | -2.05
PWE Public Works Engineering | -15.83
SWM Solid Waste Management | -8.81
SWM Solid Waste Management | -8.79
PWE Public Works Engineering | 0.61
PWE Public Works Engineering | 1.11
SWM Solid Waste Management | -3.74
PWE Public Works Engineering | -37.01
PWE Public Works Engineering | -5.93
NS Neighborhood Services | -165.40
PWE Public Works Engineering | 1.11
PWE Public Works Engineering | -34.88
PR Parks and Recreation | -179.99
PWE Public Works Engineering | 0.60
PWE Public Works Engineering | -9.88
SWM Solid Waste Management | 2.18
PWE Public Works Engineering | -3.00
SWM Solid Waste Management | 1.00
PWE Public Works Engineering | -14.93
311 HelpLine | -22.99
NS Neighborhood Services | -165.40
PWE Public Works Engineering | -2.04
PWE Public Works Engineering | -2.94
SWM Solid Waste Management | 0.35
PWE Public Works Engineering | -45.40
NS Neighborhood Services | -165.41
PWE Public Works Engineering | -13.01
PWE Public Works Engineering | -12.03
PWE Public Works Engineering | -0.05
SWM Solid Waste Management | 0.59
SWM Solid Waste Management | -4.81
PWE Public Works Engineering | 0.06
PWE Public Works Engineering | -0.15
NS Neighborhood Services | -165.41
NS Neighborhood Services | -165.41
SWM Solid Waste Management | -2.09
SWM Solid Waste Management | -1.80
NS Neighborhood Services | -166.99
SWM Solid Waste Management | -2.86
SWM Solid Waste Management | -9.72
SWM Solid Waste Management | -3.10
PWE Public Works Engineering | 1.08
PWE Public Works Engineering | -24.90
PWE Public Works Engineering | 1.09
PWE Public Works Engineering | -20.96
PWE Public Works Engineering | -6.12
SWM Solid Waste Management | 0.35
PWE Public Works Engineering | -13.84
PR Parks and Recreation | 7.58
311 HelpLine | 8.01
PWE Public Works Engineering | 0.58
PWE Public Works Engineering | -13.92
SWM Solid Waste Management | -15.42
SWM Solid Waste Management | 4.10
PWE Public Works Engineering | 0.03
PWE Public Works Engineering | 0.10
PWE Public Works Engineering | -6.08
SWM Solid Waste Management | -15.42
PWE Public Works Engineering | -0.97
PWE Public Works Engineering | 1.07
PWE Public Works Engineering | 0.04
PWE Public Works Engineering | -3.07
NS Neighborhood Services | -178.96
PWE Public Works Engineering | -19.17
311 HelpLine | -2.53
PWE Public Works Engineering | 1.07
PWE Public Works Engineering | -4.88
PWE Public Works Engineering | -5.06
PWE Public Works Engineering | 0.33
PWE Public Works Engineering | -8.99
PWE Public Works Engineering | -6.17
PWE Public Works Engineering | 1.06
PWE Public Works Engineering | -2.09
PWE Public Works Engineering | -23.98
PWE Public Works Engineering | 1.06
SWM Solid Waste Management | 0.57
SWM Solid Waste Management | -6.14
PWE Public Works Engineering | -28.88
SWM Solid Waste Management | -4.84
SWM Solid Waste Management | -6.14
PR Parks and Recreation | -174.12
SWM Solid Waste Management | 0.15
SWM Solid Waste Management | -3.85
SWM Solid Waste Management | 1.16
SWM Solid Waste Management | 4.15
PWE Public Works Engineering | -2.18
PWE Public Works Engineering | -52.89
PWE Public Works Engineering | -5.88
NS Neighborhood Services | -23.06
NS Neighborhood Services | -173.02
PWE Public Works Engineering | -5.99
NS Neighborhood Services | -23.04
NS Neighborhood Services | -165.44
SWM Solid Waste Management | 4.56
NS Neighborhood Services | -23.05
PWE Public Works Engineering | -1.92
SWM Solid Waste Management | -2.89
PWE Public Works Engineering | -10.10
SWM Solid Waste Management | -2.07
PWE Public Works Engineering | -0.91
NS Neighborhood Services | -172.13
PWE Public Works Engineering | -14.98
PWE Public Works Engineering | -13.87
PWE Public Works Engineering | -13.20
PWE Public Works Engineering | -25.00
SWM Solid Waste Management | -3.86
PWE Public Works Engineering | -14.87
PWE Public Works Engineering | -14.21
PWE Public Works Engineering | -10.45
SWM Solid Waste Management | -4.85
NS Neighborhood Services | -178.86
PWE Public Works Engineering | -2.99
PWE Public Works Engineering | -14.97
PWE Public Works Engineering | -32.98
SWM Solid Waste Management | 3.08
SWM Solid Waste Management | -8.85
PWE Public Works Engineering | -19.87
PWE Public Works Engineering | -1.12
PWE Public Works Engineering | -2.86
NS Neighborhood Services | -165.45
PWE Public Works Engineering | -34.20
SWM Solid Waste Management | -5.93
PWE Public Works Engineering | -19.20
SWM Solid Waste Management | -7.00
NS Neighborhood Services | -23.07
NS Neighborhood Services | -23.06
PWE Public Works Engineering | -14.88
PWE Public Works Engineering | -36.92
NS Neighborhood Services | -173.05
NS Neighborhood Services | -173.06
PWE Public Works Engineering | -1.96
PM Parking Management | -14.91
NS Neighborhood Services | -23.07
SWM Solid Waste Management | 4.08
PWE Public Works Engineering | -1.16
PWE Public Works Engineering | -16.22
SWM Solid Waste Management | -8.89
NS Neighborhood Services | -17.04
NS Neighborhood Services | -23.05
311 HelpLine | -2.57
NS Neighborhood Services | -23.06
PWE Public Works Engineering | -6.84
PWE Public Works Engineering | -2.84
PWE Public Works Engineering | 0.54
NS Neighborhood Services | -23.08
PWE Public Works Engineering | 3.96
NS Neighborhood Services | -23.06
SWM Solid Waste Management | -9.99
NS Neighborhood Services | -18.10
SWM Solid Waste Management | -4.65
NS Neighborhood Services | -23.06
PWE Public Works Engineering | -33.14
PWE Public Works Engineering | -20.99
PWE Public Works Engineering | -13.89
PWE Public Works Engineering | -29.94
PWE Public Works Engineering | -35.89
PWE Public Works Engineering | -14.89
NS Neighborhood Services | -24.06
NS Neighborhood Services | -23.09
NS Neighborhood Services | -165.47
PR Parks and Recreation | -172.12
NS Neighborhood Services | -165.47
NS Neighborhood Services | -15.47
PWE Public Works Engineering | -7.88
PWE Public Works Engineering | -176.12
PWE Public Works Engineering | -1.13
NS Neighborhood Services | -23.07
PWE Public Works Engineering | 1.02
PWE Public Works Engineering | -31.17
SWM Solid Waste Management | -1.01
PWE Public Works Engineering | -14.95
PWE Public Works Engineering | -0.91
PWE Public Works Engineering | -10.12
PWE Public Works Engineering | 1.02
PWE Public Works Engineering | -29.23
Finance | -75.47
PWE Public Works Engineering | -17.13
SWM Solid Waste Management | -4.88
NS Neighborhood Services | -23.09
PWE Public Works Engineering | -176.12
PWE Public Works Engineering | 2.09
PWE Public Works Engineering | -16.24
PWE Public Works Engineering | -6.22
SWM Solid Waste Management | -2.93
SWM Solid Waste Management | 4.06
PWE Public Works Engineering | -14.90
SWM Solid Waste Management | -7.00
PWE Public Works Engineering | -12.92
SWM Solid Waste Management | 7.52
NS Neighborhood Services | -165.48
SWM Solid Waste Management | 2.11
PWE Public Works Engineering | 0.98
PWE Public Works Engineering | -19.23
PWE Public Works Engineering | -1.06
PWE Public Works Engineering | -10.14
PWE Public Works Engineering | -9.90
PR Parks and Recreation | -10.08
SWM Solid Waste Management | -2.15
SWM Solid Waste Management | -13.30
SWM Solid Waste Management | -6.17
SWM Solid Waste Management | 1.01
PWE Public Works Engineering | -10.94
PWE Public Works Engineering | -14.96
PWE Public Works Engineering | -5.91
SWM Solid Waste Management | -5.90
SWM Solid Waste Management | -1.94
SWM Solid Waste Management | -0.09
PWE Public Works Engineering | -14.96
NS Neighborhood Services | -165.49
PWE Public Works Engineering | -0.13
PM Parking Management | -14.94
SWM Solid Waste Management | 1.09
SWM Solid Waste Management | 7.51
SWM Solid Waste Management | -1.88
SWM Solid Waste Management | -0.69
PWE Public Works Engineering | -20.15
NS Neighborhood Services | -15.49
SWM Solid Waste Management | -1.94
PWE Public Works Engineering | 0.27
SWM Solid Waste Management | -2.09
PWE Public Works Engineering | -0.70
NS Neighborhood Services | -165.49
311 HelpLine | -16.31
PWE Public Works Engineering | -14.96
SWM Solid Waste Management | -8.89
NS Neighborhood Services | -165.49
PWE Public Works Engineering | -2.24
NS Neighborhood Services | -165.50
PWE Public Works Engineering | -2.96
PWE Public Works Engineering | -14.97
NS Neighborhood Services | -165.50
SWM Solid Waste Management | 4.04
PWE Public Works Engineering | -14.92
NS Neighborhood Services | -165.50
PWE Public Works Engineering | -14.92
NS Neighborhood Services | -165.50
PWE Public Works Engineering | -32.98
311 HelpLine | -2.61
SWM Solid Waste Management | 0.11
PWE Public Works Engineering | -19.87
PWE Public Works Engineering | -15.12
NS Neighborhood Services | -175.96
NS Neighborhood Services | -178.92
NS Neighborhood Services | -165.50
NS Neighborhood Services | -179.99
SWM Solid Waste Management | 2.08
PWE Public Works Engineering | -14.94
NS Neighborhood Services | -165.50
SWM Solid Waste Management | -7.00
PWE Public Works Engineering | -0.68
NS Neighborhood Services | -172.95
PWE Public Works Engineering | -1.17
NS Neighborhood Services | -165.51
PWE Public Works Engineering | -2.12
PWE Public Works Engineering | -34.13
SWM Solid Waste Management | -9.19
SWM Solid Waste Management | -2.11
311 HelpLine | -2.40
SWM Solid Waste Management | -6.19
NS Neighborhood Services | -165.51
Finance | -75.51
PWE Public Works Engineering | -34.90
PWE Public Works Engineering | -12.05
SWM Solid Waste Management | -4.73
NS Neighborhood Services | -165.51
311 HelpLine | -15.51
PR Parks and Recreation | -165.51
PWE Public Works Engineering | -11.87
NS Neighborhood Services | -165.51
PR Parks and Recreation | -174.17
PWE Public Works Engineering | -5.93
PR Parks and Recreation | -179.23
PWE Public Works Engineering | -14.95
PWE Public Works Engineering | -39.93
311 HelpLine | -2.40
SWM Solid Waste Management | -10.00
PWE Public Works Engineering | -14.94
SWM Solid Waste Management | -9.20
PWE Public Works Engineering | -1.92
PWE Public Works Engineering | 0.95
SWM Solid Waste Management | 7.48
PWE Public Works Engineering | -8.33
PWE Public Works Engineering | -14.26
PWE Public Works Engineering | 0.95
PWE Public Works Engineering | -29.94
SWM Solid Waste Management | -6.24
PWE Public Works Engineering | -6.26
SWM Solid Waste Management | 4.05
PWE Public Works Engineering | -14.96
PR Parks and Recreation | -174.19
SWM Solid Waste Management | -1.99
PWE Public Works Engineering | -30.00
SWM Solid Waste Management | 7.48
PWE Public Works Engineering | -2.95
NS Neighborhood Services | -15.52
PWE Public Works Engineering | -12.27
PWE Public Works Engineering | -14.95
PWE Public Works Engineering | 0.47
PWE Public Works Engineering | -38.13
PWE Public Works Engineering | -2.91
SWM Solid Waste Management | 4.05
SWM Solid Waste Management | -1.92
PWE Public Works Engineering | -86.32
PWE Public Works Engineering | -114.01
PWE Public Works Engineering | -6.27
SWM Solid Waste Management | 1.02
NS Neighborhood Services | -165.53
NS Neighborhood Services | -165.53
SWM Solid Waste Management | -1.01
SWM Solid Waste Management | 1.06
PWE Public Works Engineering | -38.11
PWE Public Works Engineering | 2.71
PWE Public Works Engineering | -2.95
PWE Public Works Engineering | -5.41
PWE Public Works Engineering | -6.08
PR Parks and Recreation | -165.53
PWE Public Works Engineering | -0.68
PR Parks and Recreation | -165.53
PWE Public Works Engineering | -6.19
SWM Solid Waste Management | -0.09
PWE Public Works Engineering | -6.28
PWE Public Works Engineering | -14.96
PWE Public Works Engineering | -36.65
PWE Public Works Engineering | -10.33
PWE Public Works Engineering | -14.96
PWE Public Works Engineering | -10.35
Finance | -75.54
PWE Public Works Engineering | -5.98
PWE Public Works Engineering | -20.00
PWE Public Works Engineering | -14.96
SWM Solid Waste Management | -6.26
NS Neighborhood Services | -165.54
SWM Solid Waste Management | -0.12
PWE Public Works Engineering | -13.28
PWE Public Works Engineering | -19.24
PWE Public Works Engineering | 0.46
NS Neighborhood Services | -165.54
SWM Solid Waste Management | -1.94
SWM Solid Waste Management | 0.46
PWE Public Works Engineering | -13.92
PWE Public Works Engineering | -16.07
NS Neighborhood Services | -165.54
SWM Solid Waste Management | -5.98
PWE Public Works Engineering | -36.23
PWE Public Works Engineering | -0.21
NS Neighborhood Services | -166.19
PWE Public Works Engineering | -18.05
SWM Solid Waste Management | -1.85
PWE Public Works Engineering | 7.45
SWM Solid Waste Management | -5.61
SWM Solid Waste Management | 7.45
NS Neighborhood Services | -165.55
PWE Public Works Engineering | -8.07
SWM Solid Waste Management | -6.23
HLT Health | -45.55
SWM Solid Waste Management | -5.55
PWE Public Works Engineering | -6.09
PWE Public Works Engineering | -2.21
PWE Public Works Engineering | -6.30
Finance | -75.55
NS Neighborhood Services | -165.55
SWM Solid Waste Management | 0.45
NS Neighborhood Services | -165.55
PWE Public Works Engineering | -176.11
PWE Public Works Engineering | -5.98
PWE Public Works Engineering | -7.23
SWM Solid Waste Management | 1.03
SWM Solid Waste Management | 1.17
PWE Public Works Engineering | -20.23
SWM Solid Waste Management | -11.40
NS Neighborhood Services | -167.14
PWE Public Works Engineering | -2.98
PWE Public Works Engineering | -34.16
PWE Public Works Engineering | -2.90
PWE Public Works Engineering | -6.30
PWE Public Works Engineering | -13.19
NS Neighborhood Services | -15.56
SWM Solid Waste Management | -3.28
PWE Public Works Engineering | -33.11
SWM Solid Waste Management | -4.98
SWM Solid Waste Management | -13.33
SWM Solid Waste Management | 1.17
PWE Public Works Engineering | -20.99
PWE Public Works Engineering | -1.17
PR Parks and Recreation | -7.28
SWM Solid Waste Management | -0.70
PM Parking Management | 0.43
SWM Solid Waste Management | 0.43
NS Neighborhood Services | -165.57
SWM Solid Waste Management | 0.43
SWM Solid Waste Management | 1.18
PWE Public Works Engineering | -39.34
SWM Solid Waste Management | -5.62
PWE Public Works Engineering | -29.32
NS Neighborhood Services | -22.21
SWM Solid Waste Management | -8.96
SWM Solid Waste Management | -4.72
SWM Solid Waste Management | 0.43
PWE Public Works Engineering | -15.18
PWE Public Works Engineering | -29.81
NS Neighborhood Services | -165.57
SWM Solid Waste Management | -2.37
PWE Public Works Engineering | -6.90
PWE Public Works Engineering | -14.32
PWE Public Works Engineering | -13.13
PWE Public Works Engineering | -33.39
PWE Public Works Engineering | -13.20
PWE Public Works Engineering | -29.32
PWE Public Works Engineering | -24.35
PWE Public Works Engineering | -1.19
PWE Public Works Engineering | -7.24
PWE Public Works Engineering | -14.33
NS Neighborhood Services | -172.26
PWE Public Works Engineering | -15.94
PWE Public Works Engineering | -12.12
PWE Public Works Engineering | -3.87
PWE Public Works Engineering | -19.33
NS Neighborhood Services | -165.58
SWM Solid Waste Management | -2.25
NS Neighborhood Services | -167.16
NS Neighborhood Services | -165.59
PWE Public Works Engineering | -179.99
PWE Public Works Engineering | -13.29
NS Neighborhood Services | -165.59
NS Neighborhood Services | -165.59
PWE Public Works Engineering | -10.15
NS Neighborhood Services | -23.30
PWE Public Works Engineering | -3.27
PWE Public Works Engineering | -2.96
NS Neighborhood Services | -168.03
PWE Public Works Engineering | -0.16
PWE Public Works Engineering | -33.07
SWM Solid Waste Management | -2.26
PR Parks and Recreation | -165.59
PWE Public Works Engineering | -11.34
PWE Public Works Engineering | -13.24
SWM Solid Waste Management | 1.98
PWE Public Works Engineering | -1.26
PWE Public Works Engineering | -16.05
PWE Public Works Engineering | -6.99
PWE Public Works Engineering | -6.16
PWE Public Works Engineering | -3.26
PWE Public Works Engineering | -6.15
SWM Solid Waste Management | -13.37
NS Neighborhood Services | -165.60
PWE Public Works Engineering | -13.03
SWM Solid Waste Management | 1.99
PWE Public Works Engineering | -13.29
SWM Solid Waste Management | 0.40
SWM Solid Waste Management | 0.35
PWE Public Works Engineering | -2.98
SWM Solid Waste Management | -2.18
PWE Public Works Engineering | -37.22
NS Neighborhood Services | -15.61
PWE Public Works Engineering | -10.35
PWE Public Works Engineering | -1.25
PWE Public Works Engineering | 0.39
PWE Public Works Engineering | -14.03
PWE Public Works Engineering | -34.22
PR Parks and Recreation | -165.61
PWE Public Works Engineering | 0.85
SWM Solid Waste Management | -2.02
SWM Solid Waste Management | -9.71
SWM Solid Waste Management | -4.73
PWE Public Works Engineering | -14.28
PWE Public Works Engineering | 0.85
PWE Public Works Engineering | -13.26
PWE Public Works Engineering | -176.08
SWM Solid Waste Management | -2.01
SWM Solid Waste Management | 3.95
PWE Public Works Engineering | -15.03
NS Neighborhood Services | -165.62
PWE Public Works Engineering | -29.99
NS Neighborhood Services | -165.62
PWE Public Works Engineering | -13.12
PWE Public Works Engineering | -20.38
PWE Public Works Engineering | -12.20
PWE Public Works Engineering | -13.11
PWE Public Works Engineering | -2.93
NS Neighborhood Services | -165.62
PWE Public Works Engineering | -34.33
SWM Solid Waste Management | 1.09
PR Parks and Recreation | -174.29
SWM Solid Waste Management | 8.75
SWM Solid Waste Management | -2.30
NS Neighborhood Services | -165.63
PWE Public Works Engineering | -14.37
